Especie,k,A
TABEDO,0.6184755223499809,11.570212731069155
PINUOO,0.174055143149406,28.373710663515674
CUPRLU,3.2551417432631897,50.266555301136336
ALNUJO,0.642230226740708,13.580788623196046
PINUPS,0.2817515005584305,38.94061900053683
PINUMI,0.30407156463970675,23.216252377021476
ABIEGU,0.11040512575583705,29.981917664135942
PINURU,0.07329627285488446,103.0439810386946
MIXTAS*,0.22928917122789888,22.167854057433836
CEDROD,0.2681577470124544,26.1654049477641
ACROFR,0.3518634507228035,22.690860746582352
PINUCI,0.32603414946784215,32.909184382478024
TECTGR,0.2944320011743236,19.3265146344742
SWIEMA,0.42410346292094875,12.897336351087182
PTERMA,0.1866233881718955,14.402858952272359
CASUEQ,0.2451563057682746,7.5555373333623175
CALOBR,0.15759092920294288,18.16392040936852
DALBST,1.8174072817607898,11.752631555284811
